ID,Form_ID,Cognateset_ID,Alignment,Source
abui1241-petle-mud-1-biglexstat,abui1241-petle-mud-1,mud-1-0,n a b a k -,biglexstat
abui1241-petle-day-1-biglexstat,abui1241-petle-day-1,day-3-0,l e - ŋ,biglexstat
abui1241-fuime-one-1-biglexstat,abui1241-fuime-one-1,one-1-0,- n u k u,biglexstat
abui1241-fuime-to_steal-1-biglexstat,abui1241-fuime-to_steal-1,to_steal-1-0,t a k a - u,biglexstat
abui1241-petle-child-1-biglexstat,abui1241-petle-child-1,child-1-1,m o k i,biglexstat
abui1241-petle-comb-1-biglexstat,abui1241-petle-comb-1,comb-2-6,t i l e i,biglexstat
abui1241-petle-canoe-1-biglexstat,abui1241-petle-canoe-1,canoe-1-0,p e l a ŋ,biglexstat
abui1241-fuime-to_fold-1-biglexstat,abui1241-fuime-to_fold-1,to_fold-1-0,h a l u k,biglexstat
abui1241-petle-blood-1-biglexstat,abui1241-petle-blood-1,blood-1-0,- w eː -,biglexstat
abui1241-fuime-two-1-biglexstat,abui1241-fuime-two-1,two-1-0,- a - j o k - u,biglexstat
abui1241-fuime-nine-1-biglexstat,abui1241-fuime-nine-1,nine-1-0,j e - t i ŋ _ b u - - t i,biglexstat
abui1241-petle-fire-1-biglexstat,abui1241-petle-fire-1,fire-1-1,- a r a - - - - -,biglexstat
abui1241-fuime-thousand-1-biglexstat,abui1241-fuime-thousand-1,thousand-1-0,r i f i _ n u k u,biglexstat
abui1241-petle-wind-1-biglexstat,abui1241-petle-wind-1,wind-1-0,t a m o i,biglexstat
abui1241-fuime-to_buy-1-biglexstat,abui1241-fuime-to_buy-1,to_buy-1-0,b e - - l e,biglexstat
abui1241-petle-person-1-biglexstat,abui1241-petle-person-1,person-1-0,- a - m a,biglexstat
abui1241-fuime-to_hide-1-biglexstat,abui1241-fuime-to_hide-1,to_hide-1-0,t a b u ŋ,biglexstat
abui1241-fuime-twelve-1-biglexstat,abui1241-fuime-twelve-1,twelve-1-0,- - - - - - - - - - - - w a l _ a j o k u,biglexstat
abui1241-petle-night-1-biglexstat,abui1241-petle-night-1,night-1-0,- a k u n -,biglexstat
abui1241-fuime-eleven-1-biglexstat,abui1241-fuime-eleven-1,eleven-1-0,- - - - - - - - - - - - w a - l - - - _ n u k u,biglexstat
abui1241-petle-sail-1-biglexstat,abui1241-petle-sail-1,sail-1-0,- l o l,biglexstat
abui1241-fuime-to_pound-1-biglexstat,abui1241-fuime-to_pound-1,to_pound-1-0,- - t a p e - -,biglexstat
abui1241-petle-house-1-biglexstat,abui1241-petle-house-1,house-1-0,f a l a - -,biglexstat
abui1241-fuime-thirty-1-biglexstat,abui1241-fuime-thirty-1,thirty-1-0,- k a r _ s u - a -,biglexstat
abui1241-petle-name-1-biglexstat,abui1241-petle-name-1,name-1-0,- - a n - - a,biglexstat
abui1241-petle-village-1-biglexstat,abui1241-petle-village-1,village-1-0,m e l a ŋ,biglexstat
abui1241-petle-good-1-biglexstat,abui1241-petle-good-1,good-1-0,k aː ŋ -,biglexstat
abui1241-petle-hot-1-biglexstat,abui1241-petle-hot-1,hot-1-0,- - l i l a -,biglexstat
abui1241-petle-to_say-1-biglexstat,abui1241-petle-to_say-1,to_say-1-1,l a r a l,biglexstat
abui1241-petle-to_hit-1-biglexstat,abui1241-petle-to_hit-1,to_hit-2-8,f e ŋ,biglexstat
abui1241-petle-to_wait-1-biglexstat,abui1241-petle-to_wait-1,to_wait-1-0,n e r o - - i,biglexstat
abui1241-petle-mother-1-biglexstat,abui1241-petle-mother-1,mother-1-1,n i j a -,biglexstat
abui1241-petle-to_flow-1-biglexstat,abui1241-petle-to_flow-1,to_flow-1-0,- - - - t e - - l -,biglexstat
